providerEventId,providerMarketId,providerMarketName,statId,entityId,period,side,line,normalizationStatus
"0QPH7IUrjDzHoBKual5i","points-home-1q-eo-odd","Green Bay Packers 1st Quarter Points Even/Odd","points","home","1q","ODD","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-home-game-eo-even","Green Bay Packers Points Even/Odd","points","home","game","EVEN","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-home-game-eo-odd","Green Bay Packers Points Even/Odd","points","home","game","ODD","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-all-2h-ml3way-draw","2nd Half 3-Way Moneyline","points","all","2h","DRAW","","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-2h-ml3way-away","2nd Half 3-Way Moneyline","points","away","2h","AWAY","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-home-2h-ml3way-home","2nd Half 3-Way Moneyline","points","home","2h","HOME","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","fieldGoals_longestMade-all-game-ou-over","Total Longest Field Goal Made Over/Under","fieldGoals_longestMade","all","game","OVER","49.5","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","fieldGoals_longestMade-all-game-ou-under","Total Longest Field Goal Made Over/Under","fieldGoals_longestMade","all","game","UNDER","49.5","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","fieldGoals_made-all-1h-ou-over","Total 1st Half Field Goals Made Over/Under","fieldGoals_made","all","1h","OVER","1.5","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","fieldGoals_made-all-1h-ou-under","Total 1st Half Field Goals Made Over/Under","fieldGoals_made","all","1h","UNDER","1.5","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","fieldGoals_made-all-game-ou-over","Total Field Goals Made Over/Under","fieldGoals_made","all","game","OVER","3.5","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","fieldGoals_made-all-game-ou-under","Total Field Goals Made Over/Under","fieldGoals_made","all","game","UNDER","3.5","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","defense_safeties-home-game-yn-no","Green Bay Packers Any Defensive Safeties Yes/No","defense_safeties","home","game","NO","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","defense_safeties-home-game-yn-yes","Green Bay Packers Any Defensive Safeties Yes/No","defense_safeties","home","game","YES","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","fieldGoals_made-all-2h-ou-over","Total 2nd Half Field Goals Made Over/Under","fieldGoals_made","all","2h","OVER","1.5","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","fieldGoals_made-all-2h-ou-under","Total 2nd Half Field Goals Made Over/Under","fieldGoals_made","all","2h","UNDER","1.5","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","largestLead-all-game-ou-over","Total Largest Lead Over/Under","largestLead","all","game","OVER","14.5","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","largestLead-all-game-ou-under","Total Largest Lead Over/Under","largestLead","all","game","UNDER","14.5","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","points-all-2h-eo-even","Total 2nd Half Points Even/Odd","points","all","2h","EVEN","","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","points-all-2h-eo-odd","Total 2nd Half Points Even/Odd","points","all","2h","ODD","","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-2h-eo-even","Atlanta Falcons 2nd Half Points Even/Odd","points","away","2h","EVEN","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-2h-eo-odd","Atlanta Falcons 2nd Half Points Even/Odd","points","away","2h","ODD","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-home-2h-eo-even","Green Bay Packers 2nd Half Points Even/Odd","points","home","2h","EVEN","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-home-2h-eo-odd","Green Bay Packers 2nd Half Points Even/Odd","points","home","2h","ODD","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","punting_numPunts-all-game-ou-over","Total Punts Over/Under","punting_numPunts","all","game","OVER","7.5","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","punting_numPunts-all-game-ou-under","Total Punts Over/Under","punting_numPunts","all","game","UNDER","7.5","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","turnovers-all-game-ou-over","Total Turnovers Over/Under","turnovers","all","game","OVER","2.5","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","turnovers-all-game-ou-under","Total Turnovers Over/Under","turnovers","all","game","UNDER","2.5","UNMAPPED"
"ESvtyfFibM9hvbkamIkG","defense_safeties-all-game-yn-no","Any Defensive Safeties Yes/No","defense_safeties","all","game","NO","","UNMAPPED"
"ESvtyfFibM9hvbkamIkG","defense_safeties-all-game-yn-yes","Any Defensive Safeties Yes/No","defense_safeties","all","game","YES","","UNMAPPED"
"ESvtyfFibM9hvbkamIkG","points-away-game-eo-even","Kansas City Chiefs Points Even/Odd","points","away","game","EVEN","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-away-game-eo-odd","Kansas City Chiefs Points Even/Odd","points","away","game","ODD","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-game-eo-even","Miami Dolphins Points Even/Odd","points","home","game","EVEN","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-game-eo-odd","Miami Dolphins Points Even/Odd","points","home","game","ODD","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-all-game-eo-even","Total Points Even/Odd","points","all","game","EVEN","","UNMAPPED"
"ESvtyfFibM9hvbkamIkG","points-all-game-eo-odd","Total Points Even/Odd","points","all","game","ODD","","UNMAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-2h-yn-no","Miami Dolphins Any 2nd Half Points Yes/No","points","home","2h","NO","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-2h-yn-yes","Miami Dolphins Any 2nd Half Points Yes/No","points","home","2h","YES","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-all-1q-eo-even","Total 1st Quarter Points Even/Odd","points","all","1q","EVEN","","UNMAPPED"
"ESvtyfFibM9hvbkamIkG","points-all-1q-eo-odd","Total 1st Quarter Points Even/Odd","points","all","1q","ODD","","UNMAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-1h-yn-no","Miami Dolphins Any 1st Half Points Yes/No","points","home","1h","NO","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-1h-yn-yes","Miami Dolphins Any 1st Half Points Yes/No","points","home","1h","YES","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-all-1h-ml3way-draw","1st Half 3-Way Moneyline","points","all","1h","DRAW","","UNMAPPED"
"ESvtyfFibM9hvbkamIkG","points-away-1h-ml3way-away","1st Half 3-Way Moneyline","points","away","1h","AWAY","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-1h-ml3way-home","1st Half 3-Way Moneyline","points","home","1h","HOME","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-all-1h-eo-even","Total 1st Half Points Even/Odd","points","all","1h","EVEN","","UNMAPPED"
"ESvtyfFibM9hvbkamIkG","points-all-1h-eo-odd","Total 1st Half Points Even/Odd","points","all","1h","ODD","","UNMAPPED"
"ESvtyfFibM9hvbkamIkG","points-all-1q-ml3way-draw","1st Quarter 3-Way Moneyline","points","all","1q","DRAW","","UNMAPPED"
"ESvtyfFibM9hvbkamIkG","points-away-1h-eo-even","Kansas City Chiefs 1st Half Points Even/Odd","points","away","1h","EVEN","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-away-1h-eo-odd","Kansas City Chiefs 1st Half Points Even/Odd","points","away","1h","ODD","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-away-1q-eo-even","Kansas City Chiefs 1st Quarter Points Even/Odd","points","away","1q","EVEN","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-away-1q-eo-odd","Kansas City Chiefs 1st Quarter Points Even/Odd","points","away","1q","ODD","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-away-1q-ml3way-away","1st Quarter 3-Way Moneyline","points","away","1q","AWAY","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-1h-eo-even","Miami Dolphins 1st Half Points Even/Odd","points","home","1h","EVEN","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-1h-eo-odd","Miami Dolphins 1st Half Points Even/Odd","points","home","1h","ODD","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-1q-eo-even","Miami Dolphins 1st Quarter Points Even/Odd","points","home","1q","EVEN","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-1q-eo-odd","Miami Dolphins 1st Quarter Points Even/Odd","points","home","1q","ODD","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-1q-ml3way-home","1st Quarter 3-Way Moneyline","points","home","1q","HOME","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-all-2q-ml3way-draw","2nd Quarter 3-Way Moneyline","points","all","2q","DRAW","","UNMAPPED"
"ESvtyfFibM9hvbkamIkG","points-all-3q-ml3way-draw","3rd Quarter 3-Way Moneyline","points","all","3q","DRAW","","UNMAPPED"
"ESvtyfFibM9hvbkamIkG","points-all-4q-ml3way-draw","4th Quarter 3-Way Moneyline","points","all","4q","DRAW","","UNMAPPED"
"ESvtyfFibM9hvbkamIkG","points-away-2q-ml3way-away","2nd Quarter 3-Way Moneyline","points","away","2q","AWAY","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-away-3q-ml3way-away","3rd Quarter 3-Way Moneyline","points","away","3q","AWAY","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-2q-ml3way-home","2nd Quarter 3-Way Moneyline","points","home","2q","HOME","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-3q-ml3way-home","3rd Quarter 3-Way Moneyline","points","home","3q","HOME","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-4q-ml3way-home","4th Quarter 3-Way Moneyline","points","home","4q","HOME","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-game-yn-no","Miami Dolphins Any Points Yes/No","points","home","game","NO","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-game-yn-yes","Miami Dolphins Any Points Yes/No","points","home","game","YES","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-away-4q-ml3way-away","4th Quarter 3-Way Moneyline","points","away","4q","AWAY","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-all-2h-ml3way-draw","2nd Half 3-Way Moneyline","points","all","2h","DRAW","","UNMAPPED"
"ESvtyfFibM9hvbkamIkG","points-away-2h-ml3way-away","2nd Half 3-Way Moneyline","points","away","2h","AWAY","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-2h-ml3way-home","2nd Half 3-Way Moneyline","points","home","2h","HOME","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-all-2h-eo-even","Total 2nd Half Points Even/Odd","points","all","2h","EVEN","","UNMAPPED"
"ESvtyfFibM9hvbkamIkG","points-all-2h-eo-odd","Total 2nd Half Points Even/Odd","points","all","2h","ODD","","UNMAPPED"
"ESvtyfFibM9hvbkamIkG","points-away-2h-eo-even","Kansas City Chiefs 2nd Half Points Even/Odd","points","away","2h","EVEN","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-away-2h-eo-odd","Kansas City Chiefs 2nd Half Points Even/Odd","points","away","2h","ODD","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-2h-eo-even","Miami Dolphins 2nd Half Points Even/Odd","points","home","2h","EVEN","","PARTIALLY_MAPPED"
"ESvtyfFibM9hvbkamIkG","points-home-2h-eo-odd","Miami Dolphins 2nd Half Points Even/Odd","points","home","2h","ODD","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","defense_safeties-all-game-yn-no","Any Defensive Safeties Yes/No","defense_safeties","all","game","NO","","UNMAPPED"
"FOSE1zBUNvmhacWfDJh5","defense_safeties-all-game-yn-yes","Any Defensive Safeties Yes/No","defense_safeties","all","game","YES","","UNMAPPED"
"FOSE1zBUNvmhacWfDJh5","points-away-game-eo-even","New York Jets Points Even/Odd","points","away","game","EVEN","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-away-game-eo-odd","New York Jets Points Even/Odd","points","away","game","ODD","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-home-game-eo-even","Detroit Lions Points Even/Odd","points","home","game","EVEN","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-home-game-eo-odd","Detroit Lions Points Even/Odd","points","home","game","ODD","","PARTIALLY_MAPPED"
"FOSE1zBUNvmhacWfDJh5","points-all-game-eo-even","Total Points Even/Odd","points","all","game","EVEN","","UNMAPPED"
"FOSE1zBUNvmhacWfDJh5","points-all-game-eo-odd","Total Points Even/Odd","points","all","game","ODD","","UNMAPPED"
"FOSE1zBUNvmhacWfDJh5","points-all-1h-ml3way-draw","1st Half 3-Way Moneyline","points","all","1h","DRAW","","UNMAPPED"
"FOSE1zBUNvmhacWfDJh5","points-away-1h-ml3way-away","1st Half 3-Way Moneyline","points","away","1h","AWAY","","PARTIALLY_MAPPED"
